OrderNumber,LineNumber,ProductCode,Quantity,test,OrderDate
231400376,0,0602011,1,a,2022-05-02
231600621,0,0602011,1,a,2022-05-04
231901101,0,0602011,1,a,2022-05-07
232601366,0,0602011,1,a,2022-05-14
232900586,0,0602011,1,a,2022-05-17
233700119,0,0602011,1,a,2022-05-25
233700937,0,0602011,1,a,2022-05-25
234100027,0,0602011,1,a,2022-05-29
234400359,0,0602011,1,a,2022-06-01
234500833,0,0602011,1,a,2022-06-02
235201155,0,0602011,1,a,2022-06-09
236100317,0,0602011,1,a,2022-06-18
236800523,0,0602011,1,a,2022-06-25
237100143,0,0602011,1,a,2022-06-28
237201055,0,0602011,1,a,2022-06-29
